,UBar
170,0.2217573221757322
171,0.35161290322580646
172,0.6107030430220357
173,0.6693227091633466
174,0.6750817290228841
175,0.6248300860897146
176,0.6248487668683108
177,0.6220767072029935
178,0.8841836734693878
179,0.9705882352941176
180,0.9522747546833185
181,0.9386432926829268
182,0.4436752674638137
183,0.7771333885666943
184,0.3818306010928962
185,0.6637823618994877
186,0.7310964083175804
187,0.6212487064505001
188,0.7529665587918015
189,0.807838510945078
190,0.7180385288966725
191,0.571513353115727
192,0.9681762545899633
193,0.5945330296127562
194,0.6937712585034014
195,0.832026875699888
196,0.5829184220605133
197,0.7794289044289044
198,0.6663168940188877
199,0.7994891443167306
200,0.5900293255131965
201,0.61059670781893
202,0.7705200887355188
203,0.6703236423477784
204,0.7953216374269005
205,0.7079856972586412
206,0.8327740492170023
207,0.6515186915887851
208,0.9007292401787814
209,0.49583333333333335
210,0.5791208791208792
211,0.5249088699878494
212,0.7917843946968051
213,0.7013574660633484
214,0.7100818833162743
215,0.7322100441681662
216,0.3047619047619048
217,0.9402079722703639
218,0.8551367331855136
219,0.750281214848144
220,0.5481188118811882
221,0.6816526832357132
222,0.47244248653940285
223,0.84875
224,0.5107896608963718
225,0.5697247706422018
226,0.8647269014803471
227,0.5367775831873906
228,0.5032148900169204
229,0.5929203539823009
230,0.9377289377289377
231,0.18763636363636363
232,0.31864673485444533
233,0.1694277108433735
234,0.3167290683162407
235,0.22569832402234638
236,0.15482158655263933
237,0.1989121989121989
238,0.35005714285714284
239,0.12474588800591388
240,0.31243639324241806
241,0.5741626794258373
242,0.29208754208754206
243,0.9965397923875432
244,0.8675
245,0.7825836216839677
246,0.6166701702753836
247,0.8538888888888889
248,0.7052896725440806
249,0.667221852098601
250,0.5528795811518324
251,0.6197339246119734
252,0.7166504381694255
253,0.5458152958152959
254,0.05077574047954866
255,0.8876341050254094
256,0.009355730384860728
257,0.5028735632183908
258,0.9247881355932204
259,0.963023560209424
260,0.914792899408284
261,0.737330830781389
262,0.6437169362876639
263,0.8765395013517573
264,0.7553107789142408
265,0.7059486537257358
266,0.7299290005461496
267,0.9421965317919075
268,0.23035230352303523
269,0.6212121212121212
270,0.6873203050127089
271,0.6419294990723562
272,0.5592589144399963
273,0.7723821296132792
274,0.6091445427728613
275,0.9145098039215687
276,0.9137323943661971
277,0.69435833849969
278,0.6890549340457506
279,0.7526025291692867
280,0.8776859504132232
281,0.7121380846325167
282,0.8148673283370468
283,0.8014981273408239
284,0.7493438320209974
285,0.5944941134814552
286,0.851557727550397
287,0.8824888341290621
288,0.5086249383932971
289,0.9320913461538461
290,0.9786223277909739
291,0.4155251141552511
292,0.7408561738014483
293,0.575197889182058
294,0.973026973026973
295,0.6021080368906456
296,0.9252525252525252
297,0.6715758468335787
298,0.8136729222520107
299,0.7099802371541502
300,
301,0.6047197640117994
302,0.930635838150289
303,0.9325546345139413
304,0.328719723183391
305,0.8564273789649416
306,0.9016949152542373
307,0.5155494125777471
308,0.6413793103448275
309,0.5690968443960827
310,0.8690476190476191
311,0.9088607594936708
312,0.7310738625897956
